完整名称,IndexID,CodeName,FullName,ID,生命值,攻击力,防御力,暴击伤害,失衡值上限,能否失衡,失衡值自动回复,失衡值自动回复时限,基础失衡恢复速度,默认失衡恢复时间,失衡易伤倍率,可连携次数,初始抗打断等级,冻结时间抵抗,冰伤害抗性,火伤害抗性,电伤害抗性,物理伤害抗性,以太伤害抗性,冰异常抗性,火异常抗性,电异常抗性,物理异常抗性,以太异常抗性,冰失衡抗性,火失衡抗性,电失衡抗性,物理失衡抗性,以太失衡抗性,冰异常条,火异常条,电异常条,物理异常条,以太异常条,基础积蓄上限提升系数,能量球掉落,未知变量（1.7版本新增）,标签列表,70级最大生命值,70级最大攻击力,70级最大失衡值上限,60级及以上防御力
搜捕巡查员,11011,Monster_MeleeSoldier,Search Patroller,1,999999,38,50,0.5,473,True,0.0,3.0,0.1,10.0,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001,10012,10003,10005,10004,0.0,,100,"生物, 非强化型, 小体型, 近战, 士兵",247949752.05,1239.0318,1111.55,794.0
搜捕巡查员,11011,Monster_MeleeSoldier,Search Patroller,2,999999,38,50,0.5,473,True,0.0,3.0,0.1,10.0,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001,10012,10003,10005,10004,0.0,,100,"生物, 非强化型, 小体型, 近战, 士兵",247949752.05,1239.0318,1111.55,794.0
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,3,999999,100,83,0.5,3570,True,0.0,2.0,0.1,10.0,0.0,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,1.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",247949752.05,3260.61,8389.5,1318.04
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,4,9999999,180,60,0.5,6097,True,0.0,0.0,0.0833,12.0048019,0.5,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.2,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",2479499752.05,5869.098,14327.95,952.8
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,5,999999,100,83,0.5,3570,True,0.0,2.0,0.0298,33.557047,1.0,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",247949752.05,3260.61,8389.5,1318.04
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,6,999999,100,83,0.5,4641,True,0.0,2.0,0.0312,32.0512821,0.0,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",247949752.05,3260.61,10906.35,1318.04
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,7,999999,100,83,0.5,2142,True,0.0,2.0,0.0268,37.3134328,0.0,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",247949752.05,3260.61,5033.7,1318.04
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,8,8558,100,83,0.5,3570,True,0.0,2.0,0.0298,33.557047,0.0,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",2121956.1,3260.61,8389.5,1318.04
恶名·杜拉罕,11156,Monster_DurahanBoss,Notorious - Dullahan,9,52500,120,60,0.5,6100,True,0.0,0.0,0.0833,12.0048019,0.5,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.2,,100,"以骸, 中体型, 首领",13017375.0,3912.732,14335.0,952.8
初生死路屠夫,11233,Monster_Cottus,Newborn Dead End Butcher,10,9999999,180,60,0.5,5543,True,0.0,0.0,0.0833,12.0048019,0.5,3,5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001,30002,30003,30004,30005,0.0,,100,"以骸, 大体型, 死路屠夫1阶段, 黑色, 主线首领",2479499752.05,5869.098,13026.05,952.8
